ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,689,49149,21713,29939,8409,6424,5984,3378,116295,4950,5182,4478,1083,87,628,2604,747,216,267,,,,,,261533,261,6765,268559,378726,
9,CIUDAD DE MEXICO,3,COYOACAN,403,958,80513,38499,93961,12483,7014,10202,6890,126728,4630,8943,4595,1127,134,685,4194,1583,269,451,,,,,,402901,435,11138,414474,563976,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,75,249,27484,43216,2318,2223,1576,1089,997,28585,1225,1140,1136,249,27,198,508,167,71,37,,,,,,112246,28,2565,114839,160351,
9,CIUDAD DE MEXICO,5,GUSTAVO A MADERO,858,1837,70124,64517,123306,31171,16113,14699,14885,304862,12993,19378,13405,2900,332,1976,5942,1843,385,774,,,,,,699605,643,20664,720912,1045113,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,627,25510,21235,54816,8132,5603,4374,3279,107936,4071,5229,3689,921,113,568,2104,858,103,304,,,,,,248845,205,6942,255992,357004,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2453,82706,51290,273594,24044,29177,22667,9729,420340,16365,18409,20967,5146,590,3014,8628,3454,705,2150,,,,,,992975,622,34191,1027788,1470405,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,147,342,15362,34796,4256,4216,2760,5763,1070,56050,1677,1145,2138,534,54,330,586,140,91,87,,,,4193,1621,136869,172,3781,140822,196534,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,163,3974,15052,3201,949,1208,18221,540,21107,884,628,1386,257,18,175,1053,92,162,215,,,,,,69122,24,2072,71218,104842,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1038,80220,39894,70231,15213,9537,9144,5297,158453,6639,9016,6359,1630,187,1052,3969,1328,278,411,,,,,,418858,326,12632,431816,606598,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,474,20136,15552,19962,22915,4689,5581,4225,80860,3092,4629,3146,819,70,491,2004,461,153,216,,,,,,189001,125,5613,194739,294302,
9,CIUDAD DE MEXICO,12,TLALPAN,354,905,66745,31955,27721,19105,9045,7922,4140,174636,7229,7449,6316,1571,171,1021,2732,778,226,237,,,,,,368999,348,10987,380334,539660,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,539,20199,17055,18987,13858,5876,4291,5169,85197,3991,5908,4542,1038,107,645,1337,432,123,157,,22321,7938,,,219171,362,6753,226286,340509,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,617,115771,29456,6571,8020,3526,4187,2854,80198,2945,5764,2085,497,71,289,2089,428,228,32,,,,,,265011,301,5898,271210,367723,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,833,50775,42016,16151,11949,7318,5865,4462,147311,6196,8582,5485,1251,141,916,1883,496,132,82,,,,,,311011,391,9751,321153,478442,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,555,73871,19594,8052,5882,7582,3975,1867,79858,3413,2504,3100,780,124,495,1581,521,181,85,7195,,,,,220660,347,5105,226112,319499,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,697,25073,19261,90147,6551,4352,5446,2378,96881,4001,3530,3576,887,75,611,2874,1111,159,501,,,,,,267414,190,6686,274290,404572,
