ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PRI,PVEM,NA,PH,C_COMUN_PT_MORENA_ES,PAN_PRD_MC,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA,,
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,689,21713,8409,3378,5182,133945,88906,,,,,,261533,261,6765,268559,378726,,,
9,CIUDAD DE MEXICO,3,COYOACAN,403,958,38499,12483,6890,8943,144913,191173,,,,,,402901,435,11138,414474,563976,,,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,75,249,43216,2223,997,1140,32996,31674,,,,,,112246,28,2565,114839,160351,,,
9,CIUDAD DE MEXICO,5,GUSTAVO A MADERO,858,1837,64517,31171,14885,19378,352581,217073,,,,,,699605,643,20664,720912,1045113,,,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,627,21235,8132,3279,5229,122901,88069,,,,,,248845,205,6942,255992,357004,,,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2453,51290,24044,9729,18409,495599,393904,,,,,,992975,622,34191,1027788,1470405,,,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,147,342,34796,4216,1070,1145,63543,26285,,,,4193,1621,136869,172,3781,140822,196534,,,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,163,15052,949,540,628,25035,26918,,,,,,69122,24,2072,71218,104842,,,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1038,39894,15213,5297,9016,183857,165581,,,,,,418858,326,12632,431816,606598,,,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,474,15552,22915,4225,4629,93167,48513,,,,,,189001,125,5613,194739,294302,,,
9,CIUDAD DE MEXICO,12,TLALPAN,354,905,31955,19105,4140,7449,199989,106361,,,,,,368999,348,10987,380334,539660,,,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,539,17055,13858,5169,5908,101396,45526,,22321,7938,,,219171,362,6753,226286,340509,,,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,617,29456,8020,2854,5764,89611,129306,,,,,,265011,301,5898,271210,367723,,,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,833,42016,11949,4462,8582,168618,75384,,,,,,311011,391,9751,321153,478442,,,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,555,19594,5882,1867,2504,95352,88266,7195,,,,,220660,347,5105,226112,319499,,,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,697,19261,6551,2378,3530,110383,125311,,,,,,267414,190,6686,274290,404572,,,
,,,,,,,,,,,,,,,,,,,,,,,,
