ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,689,46586,24747,19669,11952,6589,6300,4237,122167,5595,6477,4506,1069,103,618,213,1296,387,101,97,,,,,,,,,,,262709,235,9494,272438,378726,
9,CIUDAD DE MEXICO,3,COYOACAN,403,958,73383,36138,65638,14037,8100,6993,5316,159787,6239,7317,5130,1246,136,775,,3129,1197,173,285,,,,,,,,6679,,2877,404575,502,12895,417972,563976,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,75,249,28038,31671,2946,3316,1899,1702,1244,34227,1821,2161,1215,260,60,195,,477,171,57,21,,,,,,,,,,,111481,50,3225,114756,160351,
9,CIUDAD DE MEXICO,5,GUSTAVO A MADERO,858,1837,84099,63581,92604,30410,16477,13404,12751,333845,15436,14834,13758,2905,353,2030,,5114,1559,347,542,4558,,,,,,,,,,708607,809,23395,732811,1045113,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,627,28565,21433,38049,10015,5499,4337,3236,116472,4632,4107,3703,1008,101,558,,1721,684,104,216,,,,2916,,,,,,,247356,411,8131,255898,357004,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1003,2453,87988,68168,167242,37836,30937,23998,14735,477262,21240,18957,20924,5054,584,3102,,6384,2433,526,1074,,,,,,,,,2737,,991181,834,37215,1029230,1470405,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,147,342,19735,24363,4322,5686,3360,5078,1704,61709,2503,3087,2236,599,72,344,,573,136,96,53,,,,,,,,,,,135656,87,4971,140714,196534,
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,163,3865,7485,2610,4722,2207,8735,1592,30519,1663,1418,1633,319,22,268,,557,46,73,92,,,,,,,,,,,67826,58,3268,71152,104842,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1038,77145,42730,53668,16584,10188,8971,5679,170678,8088,8201,6568,1692,198,1088,,3394,1101,258,346,,,,,,,,,,,416577,340,14558,431475,606598,
9,CIUDAD DE MEXICO,11,TLAHUAC,145,474,17400,16243,16079,17048,5267,6188,4864,86018,3846,6738,3138,842,79,516,,1339,334,97,156,,,,,,,,,,,186192,178,8539,194909,294302,
9,CIUDAD DE MEXICO,12,TLALPAN,354,905,62964,34918,21603,18658,9614,7764,5154,172048,6967,7486,6246,1546,139,988,,2273,619,229,252,,,,,6136,,,,,,365604,465,13625,379694,539660,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,171,539,24076,18717,13991,12232,7327,5288,5080,101789,5200,6373,4723,1140,136,688,,1243,363,89,164,,,,,,,8381,,,,217000,512,8910,226422,340509,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,617,95116,31812,6492,10477,3918,4234,3093,85471,3391,3871,2139,467,56,319,,1750,374,170,59,,,,,,4443,,6779,,,264431,487,7255,272173,367723,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,833,49699,40505,14000,14163,7018,6350,5215,141837,5725,6306,5344,1131,111,894,,1753,420,147,139,,4462,4341,,,,,,,,309560,506,11387,321453,478442,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,555,68397,24332,8663,9571,4582,4772,3140,81229,3851,5131,2672,687,58,392,94,914,300,105,60,,,,,,,,,,,218950,221,7274,226445,319499,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,697,29637,26124,57959,10215,6049,5780,3894,114464,5554,4901,4111,1077,95,678,,2184,841,115,265,,,,,,,,,,,273943,239,9029,283211,404572,
