ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PVEM,NA,PH,C_COMUN_PT_MORENA_ES,PAN_PRD_MC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAND_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,2257,578,145,529,10957,5692,444,20602,63,174,20839,28803,
9,CIUDAD DE MEXICO,1,GUSTAVO A MADERO,143,376,10976,4270,1068,1274,85062,43959,1609,148218,171,4217,152606,229079,
9,CIUDAD DE MEXICO,2,GUSTAVO A MADERO,263,487,28024,8565,1599,1827,84321,52459,2374,179169,213,3678,183060,253806,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,198,413,19011,6044,1219,1674,84421,49343,2197,163909,194,3730,167833,234908,
9,CIUDAD DE MEXICO,4,GUSTAVO A MADERO,219,475,19231,6262,1390,1768,96059,56774,2028,183512,234,4470,188216,273883,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,222,461,26070,8374,1432,2006,87552,52976,2558,180968,235,3827,185030,257427,
9,CIUDAD DE MEXICO,6,GUSTAVO A MADERO,233,499,25060,7585,1374,1902,101429,63740,2474,203564,206,4453,208223,288345,
9,CIUDAD DE MEXICO,7,MILPA ALTA,95,326,15522,4493,801,1110,71138,39667,1465,134196,111,3708,138015,204810,
9,CIUDAD DE MEXICO,8,TLAHUAC,94,311,13992,6139,955,1464,66262,34566,1838,125216,95,3147,128458,194334,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,184,401,24242,6337,1313,1676,77702,35242,2941,149453,196,4035,153684,231286,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,206,435,21561,5371,944,1324,73256,68669,1816,172941,188,3745,176874,253634,
9,CIUDAD DE MEXICO,11,IZTACALCO,213,445,17444,5405,1066,1390,86286,63285,1791,176667,194,3724,180585,255995,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,205,432,27461,7685,1215,2069,80719,42611,2469,164229,199,3695,168123,247156,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,184,370,29533,6345,920,1385,54312,49633,1760,143888,163,2802,146853,205890,
9,CIUDAD DE MEXICO,14,TLALPAN,131,355,17934,6451,877,1444,74994,43005,1846,146551,165,3559,150275,213327,
9,CIUDAD DE MEXICO,15,IZTACALCO,216,444,20816,6957,1276,1557,85528,59159,2164,177457,197,3865,181519,251947,
9,CIUDAD DE MEXICO,16,TLALPAN,194,421,27718,9314,1094,1940,76122,52317,2310,170815,187,3788,174790,240022,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,169,401,37098,9756,1070,1814,63806,55213,2267,171024,159,2764,173947,236140,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,182,430,17242,5125,1036,1561,81244,64563,1719,172490,244,4635,177369,255504,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,92,328,15212,6071,952,1717,71998,37805,2178,135933,102,3869,139904,211680,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,123,400,33573,5909,1094,1517,71128,59702,1673,174596,163,4576,179335,252409,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,154,353,13650,4748,774,1175,71629,48211,1531,141718,120,4006,145844,204715,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,138,328,12567,3581,818,1101,69085,44219,1277,132648,105,3957,136710,196689,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,215,457,30448,8063,1081,1596,74734,67957,1748,185627,150,4178,189955,259036,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,215,449,22362,7157,1163,1902,85013,59974,2182,179753,171,4324,184248,252841,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,108,340,17732,5682,1190,1705,72943,36427,2652,138331,154,3462,141947,215140,
9,CIUDAD DE MEXICO,26,COYOACAN,165,382,31837,8679,1036,1946,69331,51559,2532,166920,158,3024,170102,227248,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,118,331,9306,3387,935,962,75837,44316,1184,135927,111,4508,140546,207662,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,139,334,14671,4867,951,1350,72734,45418,1636,141627,161,3741,145529,203373,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,109,316,9856,3683,702,951,71869,43433,1169,131663,117,3630,135410,201482,
9,CIUDAD DE MEXICO,30,COYOACAN,167,384,26901,7321,1004,1682,64143,61002,1863,163916,191,3192,167299,221223,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,130,342,10710,4035,817,1116,74388,44188,1589,136843,141,3689,140673,203643,
9,CIUDAD DE MEXICO,32,COYOACAN,156,408,16508,5928,1035,1772,84877,62323,2143,174586,176,4083,178845,247088,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,147,342,25446,6346,886,1363,68477,32987,1718,137223,116,3566,140905,196534,
